NO_OF_SAMPLES	23840
FREQUENCY	2400
TIME_STAMP	2022-01-29, 15:27:17.748	11255.90960920
FIRST_SAMPLE	1
DESCRIPTION	Force data in world (lab) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Bertec
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Left
FORCE_PLATE_CORNER_POSX_POSY_X	0.000000
FORCE_PLATE_CORNER_POSX_POSY_Y	1638.300049
FORCE_PLATE_CORNER_POSX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_POSY_X	482.600006
FORCE_PLATE_CORNER_NEGX_POSY_Y	1638.300049
FORCE_PLATE_CORNER_NEGX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_X	482.600006
FORCE_PLATE_CORNER_NEGX_NEGY_Y	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_Z	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_X	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_Y	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_Z	0.000000
FORCE_PLATE_OFFSET_X	-241.300003
FORCE_PLATE_OFFSET_Y	819.150024
FORCE_PLATE_OFFSET_Z	15.875000
FORCE_PLATE_LENGTH	1638.300049
FORCE_PLATE_WIDTH	482.600006
SAMPLE	TIME	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
45	0.01833	-2.059937	17.319202	7.781982	18.920898	-0.038147	6.286621	241.300003	819.150024	0.000000	
46	0.01875	2.212524	1.296997	8.697510	16.723633	-1.106262	2.502441	241.300003	819.150024	0.000000	
47	0.01917	1.907349	1.144409	9.002686	17.211914	-0.953674	2.380371	241.300003	819.150024	0.000000	
48	0.01958	0.686646	-11.215210	11.749268	11.108398	-0.648499	2.380371	241.300003	819.150024	0.000000	
49	0.02000	0.991821	-13.656616	12.359619	9.399414	-0.190735	2.014160	241.300003	819.150024	0.000000	
50	0.02042	-0.991821	-14.419556	12.054443	8.178711	0.114441	2.258301	241.300003	819.150024	0.000000	
51	0.02083	-5.111694	-16.708851	14.190674	3.295898	1.258850	4.089355	241.300003	819.150024	0.000000	
52	0.02125	-4.806519	-16.861439	12.969971	2.319336	1.182556	3.479004	241.300003	819.150024	0.000000	
53	0.02167	-6.332397	-8.316040	7.781982	0.610352	1.411438	4.943848	241.300003	819.150024	0.000000	
54	0.02208	-6.942749	-7.400513	7.476807	1.831055	1.258850	5.065918	241.300003	819.150024	0.000000	
55	0.02250	-5.264282	0.991821	4.730225	3.295898	1.029968	4.943848	241.300003	819.150024	0.000000	
56	0.02292	-5.111694	6.942749	1.678467	5.737305	1.029968	4.211426	241.300003	819.150024	0.000000	
57	0.02333	-4.959106	6.332397	1.373291	5.249023	0.801086	4.333496	241.300003	819.150024	0.000000	
