NO_OF_SAMPLES	23840
FREQUENCY	2400
TIME_STAMP	2022-01-29, 15:27:17.748	11255.90960920
FIRST_SAMPLE	1
DESCRIPTION	Force data in world (lab) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Bertec
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Right
FORCE_PLATE_CORNER_POSX_POSY_X	492.125005
FORCE_PLATE_CORNER_POSX_POSY_Y	1638.300061
FORCE_PLATE_CORNER_POSX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_POSY_X	974.724948
FORCE_PLATE_CORNER_NEGX_POSY_Y	1638.300061
FORCE_PLATE_CORNER_NEGX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_X	974.724948
FORCE_PLATE_CORNER_NEGX_NEGY_Y	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_Z	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_X	492.125005
FORCE_PLATE_CORNER_POSX_NEGY_Y	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_Z	0.000000
FORCE_PLATE_OFFSET_X	241.300000
FORCE_PLATE_OFFSET_Y	819.150000
FORCE_PLATE_OFFSET_Z	15.875000
FORCE_PLATE_LENGTH	1638.300000
FORCE_PLATE_WIDTH	482.600000
SAMPLE	TIME	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
46	0.01875	-5.569458	6.332397	16.937256	30.152130	4.005432	12.878799	733.424976	819.150031	0.000000	
47	0.01917	-5.569458	6.332397	16.632080	30.640411	3.776550	13.122940	733.424976	819.150031	0.000000	
48	0.01958	-6.790161	8.621216	13.275146	30.152130	3.547668	10.559082	733.424976	819.150031	0.000000	
49	0.02000	-7.095337	9.384155	13.275146	30.640411	3.471375	9.460449	733.424976	819.150031	0.000000	
50	0.02042	-6.332397	9.231567	12.359619	29.663849	3.166199	9.338379	733.424976	819.150031	0.000000	
51	0.02083	-1.296997	11.215210	15.716553	30.396271	0.648499	2.746582	733.424976	819.150031	0.000000	
52	0.02125	-1.296997	11.062622	14.495850	30.884552	0.724792	2.868652	733.424976	819.150031	0.000000	
53	0.02167	1.296997	12.130737	17.242432	34.546661	0.038147	0.915527	733.424976	819.150031	0.000000	
54	0.02208	1.602173	12.130737	17.242432	36.011505	0.267029	0.915527	733.424976	819.150031	0.000000	
55	0.02250	-1.754761	11.825562	16.632080	34.058380	1.945496	2.014160	733.424976	819.150031	0.000000	
56	0.02292	-2.975464	10.604858	15.716553	32.837677	3.471375	3.845215	733.424976	819.150031	0.000000	
57	0.02333	-3.890991	10.604858	16.021729	32.349396	3.929138	3.967285	733.424976	819.150031	0.000000	
58	0.02375	-3.280640	6.942749	12.969971	24.780273	4.158020	3.601074	733.424976	819.150031	0.000000	
59	0.02417	-3.738403	6.332397	13.580322	25.757599	4.310608	3.723145	733.424976	819.150031	0.000000	
60	0.02458	2.517700	5.569458	13.580322	21.118164	1.640320	1.403809	733.424976	819.150031	0.000000	
61	0.02500	3.585815	4.653931	13.275146	18.188477	0.877380	0.305176	733.424976	819.150031	0.000000	
62	0.02542	4.348755	4.806519	12.664795	19.165039	0.572205	0.427246	733.424976	819.150031	0.000000	
63	0.02583	4.806519	8.010864	11.138916	23.559570	-0.038147	0.671387	733.424976	819.150031	0.000000	
64	0.02625	4.653931	8.468628	10.528564	23.071289	0.114441	1.281738	733.424976	819.150031	0.000000	
65	0.02667	2.212524	12.893677	8.697510	27.466583	0.801086	1.770020	733.424976	819.150031	0.000000	
66	0.02708	2.059937	13.961792	9.613037	27.954865	0.648499	2.136230	733.424976	819.150031	0.000000	
67	0.02750	2.059937	14.572144	12.664795	30.152130	1.335144	1.770020	733.424976	819.150031	0.000000	
68	0.02792	1.907349	15.487671	16.632080	34.302521	2.098083	1.525879	733.424976	819.150031	0.000000	
69	0.02833	1.144409	15.487671	16.937256	34.058380	2.021790	1.770020	733.424976	819.150031	0.000000	
70	0.02875	-1.449585	14.266968	22.430420	36.499786	3.166199	3.845215	733.424976	819.150031	0.000000	
71	0.02917	-0.686646	15.182495	20.294189	36.743927	3.395081	3.845215	733.424976	819.150031	0.000000	
72	0.02958	-4.806519	12.435913	15.716553	32.349396	2.555847	6.408691	733.424976	819.150031	0.000000	
73	0.03000	-5.569458	11.672974	14.495850	29.663849	2.098083	7.385254	733.424976	819.150031	0.000000	
74	0.03042	-4.959106	11.520386	13.885498	29.907990	1.792908	7.141113	733.424976	819.150031	0.000000	
75	0.03083	-2.822876	9.384155	9.307861	21.606445	-1.945496	4.333496	733.424976	819.150031	0.000000	
76	0.03125	-2.517700	9.536743	9.307861	21.362305	-2.326965	4.089355	733.424976	819.150031	0.000000	
77	0.03167	-0.686646	13.656616	4.425049	13.549805	-4.234314	1.647949	733.424976	819.150031	0.000000	
78	0.03208	-0.839233	14.114380	3.204346	11.596680	-4.310608	1.159668	733.424976	819.150031	0.000000	
79	0.03250	-2.822876	18.539906	-1.373291	10.620117	-4.386902	0.549316	733.424976	819.150031	0.000000	
80	0.03292	-4.959106	25.558949	-8.392334	5.737305	-4.081726	0.061035	733.424976	819.150031	0.000000	
81	0.03333	-4.501343	25.253773	-7.476807	6.469727	-4.310608	-0.061035	733.424976	819.150031	0.000000	
82	0.03375	-2.517700	33.951283	-19.073486	-8.911133	-7.820368	-3.601074	733.424976	819.150031	0.000000	
83	0.03417	-1.754761	34.409046	-18.463135	-9.643555	-8.201838	-3.967285	733.424976	819.150031	0.000000	
84	0.03458	3.738403	37.003040	-25.482178	-19.409180	-12.932062	-9.216309	733.424976	819.150031	0.000000	
85	0.03500	5.416870	38.223743	-27.313232	-23.559570	-14.763117	-11.779785	733.424976	819.150031	0.000000	
86	0.03542	5.416870	38.986683	-29.754639	-24.047852	-15.068293	-11.901855	733.424976	819.150031	0.000000	
87	0.03583	7.095337	46.310902	-41.352272	-35.523224	-19.722223	-17.395401	733.424976	819.150031	0.000000	
88	0.03625	6.942749	46.310902	-40.741920	-34.546661	-19.722223	-17.151260	733.424976	819.150031	0.000000	
89	0.03667	3.128052	61.570168	-58.442116	-46.997833	-24.071217	-18.982315	561.993951	787.452816	0.000000	
90	0.03708	3.128052	63.858986	-59.967995	-49.195099	-24.376392	-19.104385	567.406868	803.450900	0.000000	
91	0.03750	3.585815	71.488380	-66.987038	-55.298615	-27.046680	-20.691299	570.115276	808.570440	0.000000	
92	0.03792	3.585815	83.238125	-74.311256	-66.773224	-30.479908	-23.376846	563.793520	880.779361	0.000000	
93	0.03833	3.585815	83.085537	-74.006081	-67.017365	-30.479908	-23.620987	562.098979	887.743052	0.000000	
94	0.03875	1.907349	92.545986	-81.635475	-81.422424	-33.226490	-26.306534	567.343637	979.393568	0.000000	
95	0.03917	1.144409	92.851162	-79.499245	-82.154846	-33.226490	-26.550674	556.549211	1014.862930	0.000000	
96	0.03958	-0.839233	88.426113	-88.959694	-88.014221	-34.904957	-25.574112	582.506518	973.592147	0.000000	
97	0.04000	-1.907349	87.205410	-92.011452	-91.188049	-35.667896	-24.719620	587.407784	976.005319	0.000000	
98	0.04042	-1.144409	85.984707	-93.842506	-91.432190	-36.583424	-25.085831	585.080054	959.769608	0.000000	
99	0.04083	-0.076294	64.621925	-111.238480	-116.578674	-44.289351	-17.517471	576.588113	1038.784466	0.000000	
100	0.04125	0.228882	64.774513	-110.322952	-116.090393	-44.365644	-17.639542	572.548666	1042.957052	0.000000	
